S1|D: 0.761m,0209|48|1454.593231| 0.0000000|160.0000000
S1|D: 0.073m,0409|51|1457.040583|10.0000000|160.0000000
S2|D: 0.810m,0176|49|1454.600607|200.0000000|160.0000000
S2|D: 0.094m,0277|52|1457.047276|210.0000000|160.0000000
M1|done|10.00|50|0|    1455.304102
M2|done|160.00|46|0|    1452.851623
M2|done|160.00|53|0|    1457.047891
M3|done|160.00|47|0|    1452.855641
M1|done|0.00|0|1|    1598.230575
M2|done|0.00|1|1|    1609.403117
M3|done|0.00|2|1|    1609.410089
S1|O,OK!|3|1609.631449| 0.0000000| 0.0000000
S1|S: 27.2`C,3.1V|5|1609.649100| 0.0000000| 0.0000000
S2|O,OK!|4|1609.641926|200.0000000| 0.0000000
S2|S: 26.6`C,3.1V|6|1609.659114|200.0000000| 0.0000000
M1|done|0.00|7|1|    1609.722608
M2|done|0.00|8|1|    1609.732136
M3|done|0.00|9|1|    1609.742425
S1|O,OK!|10|1610.842100| 0.0000000| 0.0000000
S1|S: 27.2`C,3.1V|12|1610.858322| 0.0000000| 0.0000000
S2|O,OK!|11|1610.853098|200.0000000| 0.0000000
S2|S: 26.6`C,3.1V|13|1610.869315|200.0000000| 0.0000000
M1|done|0.00|15|1|    1617.494776
M2|done|0.00|16|1|    1617.504141
M3|done|0.00|17|1|    1617.505556
S1|D: 1.903m,0035|18|1618.970875| 0.0000000| 0.0000000
S2|D: 1.878m,0038|19|1618.981358|200.0000000| 0.0000000
M1|done|0.00|20|1|    1618.981976
M2|done|0.00|21|1|    1618.992513
M3|done|0.00|22|1|    1619.000099
S1|D: 1.903m,0033|23|1619.599167| 0.0000000| 0.0000000
S2|D: 1.878m,0033|24|1619.601140|200.0000000| 0.0000000
M2|done|20.00|25|0|    1619.941102
M3|done|20.00|26|0|    1619.944069
S1|D: 1.994m,0045|27|1620.544156| 0.0000000|20.0000000
S2|D: 2.023m,0045|28|1620.551128|200.0000000|20.0000000
M2|done|40.00|29|0|    1620.890746
M3|done|40.00|30|0|    1620.898626
S1|D: 1.411m,0055|31|1621.499170| 0.0000000|40.0000000
S2|D: 1.410m,0152|32|1622.639525|200.0000000|40.0000000
M2|done|60.00|33|0|    1622.979288
M3|done|60.00|34|0|    1622.981517
S1|D: 1.115m,0056|35|1623.582175| 0.0000000|60.0000000
S2|D: 0.852m,0168|36|1624.726276|200.0000000|60.0000000
M2|done|80.00|37|0|    1625.066070
M3|done|80.00|38|0|    1625.075501
S1|D: 0.741m,0086|39|1626.054372| 0.0000000|80.0000000
S2|D: 0.715m,0089|40|1626.055202|200.0000000|80.0000000
M2|done|100.00|41|0|    1626.394975
M3|done|100.00|42|0|    1626.396565
S2|D: 0.677m,0070|44|1627.006352|200.0000000|100.0000000
S1|D: 0.740m,0098|43|1627.375383| 0.0000000|100.0000000
M2|done|120.00|45|0|    1627.715485
M3|done|120.00|46|0|    1627.717156
S2|D: 0.715m,0076|48|1628.319188|200.0000000|120.0000000
S1|D: 0.824m,0115|47|1628.694797| 0.0000000|120.0000000
M2|done|140.00|49|0|    1629.035549
M3|done|140.00|50|0|    1629.042541
S2|D: 0.838m,0183|52|1630.787395|200.0000000|140.0000000
S1|D: 0.972m,0174|51|1630.779403| 0.0000000|140.0000000
M2|done|160.00|53|0|    1631.128000
M3|done|160.00|54|0|    1631.131587
S1|D: 0.761m,0200|55|1632.869162| 0.0000000|160.0000000
S2|D: 0.810m,0139|56|1632.875368|200.0000000|160.0000000
M1|done|10.00|57|0|    1633.580015
S1|D: 0.070m,0494|58|1635.316609|10.0000000|160.0000000
S2|D: 0.094m,0213|59|1635.322459|210.0000000|160.0000000
M2|done|160.00|60|0|    1635.323129
M3|done|160.00|61|0|    1635.327102
S1|D:33.404m,0428|62|1637.065163|10.0000000|160.0000000
S2|D: 0.095m,0214|63|1637.069678|210.0000000|160.0000000
M2|done|140.00|64|0|    1637.409266
M3|done|140.00|65|0|    1637.414570
S1|D: 0.879m,0599|66|1639.151421|10.0000000|140.0000000
S2|D: 0.830m,0151|67|1639.156415|210.0000000|140.0000000
M2|done|120.00|68|0|    1639.496033
M3|done|120.00|69|0|    1639.501656
S2|D: 0.709m,0098|71|1640.108202|210.0000000|120.0000000
