M1|done|0.00|0|      49.935448
M2|done|90.00|0|      63.971978
S2|O,OK!|1|      65.001851| 0.0000000|90.0000000
S2|D: 0.251m,1791|2|     169.495725| 0.0000000|90.0000000
M1|done|9.90|3|     171.597789
S2|D: 0.259m,1989|4|     171.615754| 9.9000000|90.0000000
M2|done|69.98|5|     174.114372
S2|D: 0.251m,0419|6|     174.135742| 9.9000000|69.9750000
M2|done|74.92|7|     176.176550
S2|D: 0.354m,1008|8|     176.205742| 9.9000000|74.9250000
M2|done|80.10|9|     178.289298
S2|D: 0.384m,0519|10|     178.315753| 9.9000000|80.1000000
M1|done|11.93|12|     180.578504
M2|done|85.05|11|     180.356557
S2|D: 0.331m,0628|13|     180.595769|11.9250000|85.0500000
M2|done|90.00|14|     182.636571
S2|D:33.598m,1576|15|     182.665757|11.9250000|90.0000000
M2|done|85.05|16|     184.706578
S2|D: 0.326m,0595|17|     184.735757|11.9250000|85.0500000
M2|done|80.10|18|     186.786571
S2|D: 0.274m,4378|19|     186.815768|11.9250000|80.1000000
M2|done|74.92|20|     188.899324
S2|D: 0.315m,1993|21|     188.925757|11.9250000|74.9250000
M1|done|11.93|22|     190.708614
S2|D: 0.316m,2070|23|     190.735753|11.9250000|74.9250000
M2|done|69.98|24|     192.776585
S2|D: 0.256m,0444|25|     192.805769|11.9250000|69.9750000
M2|done|74.92|26|     194.846571
S2|D: 0.330m,1469|27|     194.885753|11.9250000|74.9250000
M2|done|80.10|28|     196.969324
S2|D:33.615m,3302|29|     196.995769|11.9250000|80.1000000
M1|done|13.95|31|     199.258504
M2|done|85.05|30|     199.046571
S2|D: 0.265m,0997|32|     199.275758|13.9500000|85.0500000
M2|done|90.00|33|     201.326571
S2|D: 0.239m,0858|34|     201.355772|13.9500000|90.0000000
M2|done|85.05|35|     203.406570
S2|D: 0.290m,0677|36|     203.435768|13.9500000|85.0500000
M2|done|80.10|37|     205.486570
S2|D: 0.311m,1253|38|     205.515768|13.9500000|80.1000000
M2|done|74.92|39|     207.609329
S2|D: 0.292m,1969|40|     207.635768|13.9500000|74.9250000
M1|done|13.95|41|     209.428616
S2|D: 0.297m,2127|42|     209.445768|13.9500000|74.9250000
M2|done|69.98|43|     211.496570
S2|D: 0.258m,0628|44|     211.525768|13.9500000|69.9750000
M2|done|74.92|45|     213.576555
S2|D: 0.306m,0882|46|     214.233760|13.9500000|74.9250000
M2|done|80.10|47|     216.327318
S2|D:33.632m,1637|48|     216.363761|13.9500000|80.1000000
M2|done|85.05|49|     218.414556
M1|done|15.98|50|     219.616475
S2|D: 0.272m,2457|51|     220.473748|15.9750000|85.0500000
M2|done|90.00|52|     222.524593
S2|D: 0.248m,1911|53|     222.563757|15.9750000|90.0000000
M2|done|85.05|54|     224.614579
S2|D:33.609m,2674|55|     224.653760|15.9750000|85.0500000
M2|done|80.10|56|     227.027570
S2|D: 0.285m,1795|57|     227.766760|15.9750000|80.1000000
M1|done|0.00|59|     230.565366
M2|done|74.92|58|     229.860343
M2|done|90.00|59|     248.872511
