INFO : 21_03_03_16_00   Session started
INFO : 21_03_03_16_01   Strategy started
INFO : 21_03_03_16_01   Start h degree : 10
INFO : 21_03_03_16_01   Start v degree : 10.0
INFO : 21_03_03_16_01   Start targetwitdth : 0.32
INFO : 21_03_03_16_01   Start targetheight : 0.32
INFO : 21_03_03_16_11   PASS 1, Time :10 : 35
INFO : 21_03_03_16_11   Total :10 : 38
INFO : 21_03_03_16_17   PASS 2, Time :5 : 56
INFO : 21_03_03_16_17   Total :16 : 35
INFO : 21_03_03_16_30   PASS 3, Time :12 : 24
INFO : 21_03_03_16_30   Total :28 : 59
INFO : 21_03_03_16_36   PASS 4, Time :6 : 24
INFO : 21_03_03_16_36   Total :35 : 24
INFO : 21_03_03_16_40   PASS 5, Time :4 : 25
INFO : 21_03_03_16_40   Total :39 : 50
INFO : 21_03_03_16_43   PASS 6, Time :2 : 23
INFO : 21_03_03_16_43   Total :42 : 13
INFO : 21_03_03_16_46   PASS 7, Time :3 : 19
INFO : 21_03_03_16_46   Total :45 : 32
INFO : 21_03_03_16_49   PASS 8, Time :2 : 58
INFO : 21_03_03_16_49   Total :48 : 30
INFO : 21_03_03_16_54   PASS 9, Time :4 : 32
INFO : 21_03_03_16_54   Total :53 : 03
INFO : 21_03_03_16_58   PASS 10, Time :4 : 49
INFO : 21_03_03_16_58   Total :57 : 52
INFO : 21_03_03_17_05   PASS 11, Time :6 : 52
INFO : 21_03_03_17_05   Total :64 : 45
INFO : 21_03_03_17_13   PASS 12, Time :8 : 01
INFO : 21_03_03_17_13   Total :72 : 47
INFO : 21_03_03_17_23   PASS 13, Time :9 : 23
INFO : 21_03_03_17_23   Total :82 : 10
INFO : 21_03_03_17_38   PASS 14, Time :15 : 05
INFO : 21_03_03_17_38   Total :97 : 16
INFO : 21_03_03_17_57   PASS 15, Time :19 : 29
INFO : 21_03_03_17_57   Total :116 : 46
INFO : 21_03_03_18_32   PASS 16, Time :34 : 49
INFO : 21_03_03_18_32   Total :151 : 36
INFO : 21_03_03_19_12   PASS 17, Time :40 : 12
INFO : 21_03_03_19_12   Total :191 : 48
INFO : 21_03_03_19_41   PASS 18, Time :29 : 03
INFO : 21_03_03_19_41   Total :220 : 52
