M2|done|0.00|1|1|     227.363004
M3|done|0.00|2|1|     227.265005
M1|done|0.00|0|1|     250.332494
S1|O,OK!|3|250.500659| 0.0000000| 0.0000000
S1|S: 28.0`C,3.1V|5|250.518527| 0.0000000| 0.0000000
S2|O,OK!|4|250.501530|200.0000000| 0.0000000
S2|S: 26.3`C,3.1V|6|250.528293|200.0000000| 0.0000000
M1|done|0.00|8|1|     261.583253
M2|done|0.00|9|1|     261.593970
M3|done|0.00|10|1|     261.603600
S1|D: 1.908m,0041|11|263.060580| 0.0000000| 0.0000000
S2|D: 1.875m,0029|12|263.070043|200.0000000| 0.0000000
M1|done|0.00|13|1|     263.070633
M2|done|0.00|14|1|     263.078516
M3|done|0.00|15|1|     263.081523
S1|D: 1.908m,0031|16|263.680726| 0.0000000| 0.0000000
S2|D: 1.875m,0026|17|263.689954|200.0000000| 0.0000000
M2|done|20.00|18|0|     264.029585
M3|done|20.00|19|0|     264.033008
S1|D: 1.963m,0039|20|264.633618| 0.0000000|20.0000000
S2|D: 2.017m,0039|21|264.640630|200.0000000|20.0000000
M2|done|40.00|22|0|     264.980257
M3|done|40.00|23|0|     264.988130
S1|D: 2.647m,0036|24|265.587922| 0.0000000|40.0000000
S2|D: 1.485m,0142|25|265.970840|200.0000000|40.0000000
M2|done|60.00|26|0|     266.310592
M3|done|60.00|27|0|     266.314565
S1|D: 4.089m,0075|28|266.914613| 0.0000000|60.0000000
S2|D: 0.974m,0173|29|268.057994|200.0000000|60.0000000
M2|done|80.00|30|0|     268.398125
M3|done|80.00|31|0|     268.399916
S1|D: 5.397m,0144|32|269.378614| 0.0000000|80.0000000
S2|D: 0.854m,0114|33|269.388625|200.0000000|80.0000000
M2|done|100.00|34|0|     269.728228
M3|done|100.00|35|0|     269.730965
S2|D: 0.832m,0078|37|270.719633|200.0000000|100.0000000
S1|D: 1.828m,0700|36|271.467812| 0.0000000|100.0000000
M2|done|120.00|38|0|     271.807514
M3|done|120.00|39|0|     271.811028
S1|D: 1.566m,0126|40|272.789690| 0.0000000|120.0000000
S2|D: 0.896m,0149|41|272.799749|200.0000000|120.0000000
M2|done|140.00|42|0|     273.139341
M3|done|140.00|43|0|     273.148996
S1|D: 0.841m,0872|44|274.886653| 0.0000000|140.0000000
S2|D: 1.085m,0207|45|274.886074|200.0000000|140.0000000
M2|done|160.00|46|0|     275.227494
M3|done|160.00|47|0|     275.236051
S1|D: 0.762m,0176|48|276.973220| 0.0000000|160.0000000
S2|D: 0.810m,0163|49|276.974768|200.0000000|160.0000000
M1|done|10.00|50|0|     277.678763
S1|D:33.428m,0485|51|279.416612|10.0000000|160.0000000
S2|D: 0.096m,0207|52|279.421971|210.0000000|160.0000000
M2|done|160.00|53|0|     279.422640
M3|done|160.00|54|0|     279.427527
S1|D:33.428m,0484|55|281.164610|10.0000000|160.0000000
S2|D: 0.096m,0183|56|281.168771|210.0000000|160.0000000
M2|done|140.00|57|0|     281.508856
M3|done|140.00|58|0|     281.514924
S1|D: 0.067m,0773|59|283.252609|10.0000000|140.0000000
S2|D: 1.084m,0298|60|283.255917|210.0000000|140.0000000
M2|done|120.00|61|0|     283.595549
M3|done|120.00|62|0|     283.598955
S1|D: 0.992m,0056|63|284.198711|10.0000000|120.0000000
S2|D: 0.915m,0139|64|285.343986|210.0000000|120.0000000
M2|done|100.00|65|0|     285.683797
M3|done|100.00|66|0|     285.689048
S1|D: 0.895m,0061|67|286.289676|10.0000000|100.0000000
S2|D: 0.852m,0111|68|286.674602|210.0000000|100.0000000
M2|done|80.00|69|0|     287.015284
M3|done|80.00|70|0|     287.015914
S1|D: 0.895m,0074|71|287.615245|10.0000000|80.0000000
S2|D: 0.876m,0109|72|288.005661|210.0000000|80.0000000
M2|done|60.00|73|0|     288.345542
M3|done|60.00|74|0|     288.354049
S1|D: 0.991m,0077|75|288.954618|10.0000000|60.0000000
S2|D: 0.981m,0196|76|290.094059|210.0000000|60.0000000
M2|done|40.00|77|0|     290.433826
M3|done|40.00|78|0|     290.439036
S1|D: 1.277m,0101|79|291.417609|10.0000000|40.0000000
S2|D: 1.511m,0109|80|291.424659|210.0000000|40.0000000
M2|done|20.00|81|0|     291.764352
M3|done|20.00|82|0|     291.773985
